CCC_GIS_ID,Name,Alt_Name,Great_Pond,Acres,Town,Aquifer Lens,Volume__cubic_meters_,Final Depth,Depth Class,% 100ft buffer developed,buffer development class
BA-822, , ,No,0.566632446,Barnstable,Sagamore,,#N/A,#N/A,31%,High
BA-771,Straightway Pond, ,No,5.082259355,Barnstable,Sagamore,,#N/A,#N/A,21%,Medium
YA-683, , ,No,1.235620144,Yarmouth,Sagamore,,#N/A,#N/A,,#N/A
BO-583, , ,No,0.236181779,Bourne,Sagamore,,#N/A,#N/A,58%,Very High
DE-561, , ,No,0.538752921,Dennis,Monomoy,,#N/A,#N/A,50%,High
DE-521, , ,No,0.247071084,Dennis,Monomoy,,#N/A,#N/A,67%,Very High
DE-513, , ,No,0.917895821,Dennis,Monomoy,,#N/A,#N/A,39%,High
BA-438, , ,No,1.191042372,Barnstable,Sagamore,,#N/A,#N/A,16%,Medium
SA-329, , ,No,1.813196885,Sandwich,Sagamore,,#N/A,#N/A,9%,Low
SA-261, , ,No,2.192375063,Sandwich,Sagamore,,#N/A,#N/A,23%,Medium
SA-1097,,,No,0.302863071,Sandwich,Sagamore,,#N/A,#N/A,19%,Medium
EA-108, , ,No,0.253370082,Eastham,Nauset,,#N/A,#N/A,7%,Low
FA-1002, , ,No,0.263858724,Falmouth,Sagamore,,#N/A,#N/A,41%,High
MA-859, , ,No,0.902009538,Mashpee,Sagamore,,#N/A,#N/A,76%,Very High
BA-767, , ,No,0.712323707,Barnstable,Sagamore,,#N/A,#N/A,43%,High
BA-762, , ,No,0.437729604,Barnstable,Sagamore,,#N/A,#N/A,41%,High
BA-744, , ,No,0.325552509,Barnstable,Sagamore,,#N/A,#N/A,13%,Medium
DE-375, , ,No,0.385733373,Dennis,Monomoy,,#N/A,#N/A,10%,Low
OR-227, , ,No,0.577430728,Orleans,Nauset,,#N/A,#N/A,11%,Medium
FA-999, , ,No,0.686362645,Falmouth,Sagamore,,#N/A,#N/A,25%,Medium
MA-1098,,,No,0.290984676,Mashpee,Sagamore,,#N/A,#N/A,13%,Medium
BA-768, , ,No,0.281988517,Barnstable,Sagamore,,#N/A,#N/A,22%,Medium
MA-739, , ,No,0.916426838,Mashpee,Sagamore,,#N/A,#N/A,,#N/A
CH-509, , ,No,1.638609075,Chatham,Monomoy,,#N/A,#N/A,,#N/A
SA-1099,,,No,0.315253431,Sandwich,Sagamore,,#N/A,#N/A,14%,Medium
DE-367, , ,No,1.383169258,Dennis,Monomoy,,#N/A,#N/A,2%,Very Low
SA-1100,,,No,1.196184935,Sandwich,Sagamore,,#N/A,#N/A,10%,Low
OR-124, , ,No,0.592554413,Orleans,Nauset,,#N/A,#N/A,25%,Medium
FA-922, , ,No,0.261232093,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
BO-573, , ,No,0.392625852,Bourne,Sagamore,,#N/A,#N/A,47%,High
YA-1101,,,No,0.767216249,Yarmouth,Sagamore,,#N/A,#N/A,33%,High
CH-475, , ,No,0.983924571,Chatham,Monomoy,,#N/A,#N/A,13%,Medium
SA-307, , ,No,0.766071599,Sandwich,Sagamore,,#N/A,#N/A,32%,High
OR-230, , ,No,0.677521184,Orleans,Nauset,,#N/A,#N/A,33%,High
BR-214, , ,No,1.471046403,Brewster,Monomoy,,#N/A,#N/A,1%,Very Low
OR-191, , ,No,3.162802442,Orleans,Nauset,,#N/A,#N/A,,#N/A
MA-883, , ,No,1.026515055,Mashpee,Sagamore,,#N/A,#N/A,97%,Very High
FA-1102,,,No,0.33745651,Falmouth,Sagamore,,#N/A,#N/A,19%,Medium
BA-1103,,,No,0.588705344,Barnstable,Sagamore,,#N/A,#N/A,12%,Medium
SA-603, , ,No,0.570115539,Sandwich,Sagamore,,#N/A,#N/A,51%,Very High
BA-1104,,,No,0.267475488,Barnstable,Sagamore,,#N/A,#N/A,58%,Very High
HA-1105,,,No,1.160431226,Harwich,Monomoy,,#N/A,#N/A,6%,Low
BA-1106,,,No,0.451103181,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
SA-350, , ,No,0.357823445,Sandwich,Sagamore,,#N/A,#N/A,25%,Medium
DE-323, , ,No,0.591104653,Dennis,Monomoy,,#N/A,#N/A,,#N/A
OR-238, , ,No,1.084215162,Orleans,Nauset,,#N/A,#N/A,22%,Medium
BO-181, , ,No,8.511424767,Bourne,Plymouth-Carver,,#N/A,#N/A,18%,Medium
BR-172, , ,No,0.487014325,Brewster,Monomoy,,#N/A,#N/A,13%,Medium
OR-110, , ,No,1.293849983,Orleans,Nauset,,#N/A,#N/A,1%,Very Low
FA-1107,,,No,0.289005026,Falmouth,Sagamore,,#N/A,#N/A,20%,Medium
MA-1108,,,No,0.24154972,Mashpee,Sagamore,,#N/A,#N/A,58%,Very High
FA-1109,,,No,0.669354429,Falmouth,Sagamore,,#N/A,#N/A,8%,Low
BA-742, , ,No,0.305219565,Barnstable,Sagamore,,#N/A,#N/A,3%,Very Low
YA-659, , ,No,1.507226772,Yarmouth,Sagamore,,#N/A,#N/A,5%,Low
HA-1110,,,No,0.340953337,Harwich,Monomoy,,#N/A,#N/A,16%,Medium
BA-373, , ,No,2.472377489,Barnstable,Sagamore,,#N/A,#N/A,4%,Very Low
DE-1111,,,No,0.409420288,Dennis,Monomoy,,#N/A,#N/A,,#N/A
BR-173, , ,No,0.744888109,Brewster,Monomoy,,#N/A,#N/A,2%,Very Low
OR-109, , ,No,0.631220837,Orleans,Nauset,,#N/A,#N/A,29%,High
OR-107, , ,No,1.337308304,Orleans,Nauset,,#N/A,#N/A,20%,Medium
FA-911, , ,No,1.449491707,Falmouth,Sagamore,,#N/A,#N/A,4%,Very Low
BA-727, , ,No,1.996130676,Barnstable,Sagamore,,#N/A,#N/A,12%,Medium
BO-717, , ,No,0.241402699,Bourne,Sagamore,,#N/A,#N/A,12%,Medium
SA-1112,,,No,0.244335397,Sandwich,Sagamore,,#N/A,#N/A,7%,Low
HA-520, , ,No,0.271591811,Harwich,Monomoy,,#N/A,#N/A,55%,Very High
HA-508, , ,No,0.443526364,Harwich,Monomoy,,#N/A,#N/A,4%,Very Low
BA-474, , ,No,0.24755142,Barnstable,Sagamore,,#N/A,#N/A,0%,Very Low
DE-1113,,,No,0.396131776,Dennis,Monomoy,,#N/A,#N/A,,#N/A
BR-1114,,,No,0.233455314,Brewster,Monomoy,,#N/A,#N/A,,#N/A
BO-184, , ,No,3.323597783,Bourne,Plymouth-Carver,,#N/A,#N/A,30%,High
FA-1115,,,No,0.905150725,Falmouth,Sagamore,,#N/A,#N/A,48%,High
FA-1116,,,No,0.534786739,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
BA-751, , ,No,0.371142323,Barnstable,Sagamore,,#N/A,#N/A,19%,Medium
BA-743, , ,No,1.438963741,Barnstable,Sagamore,,#N/A,#N/A,32%,High
HA-489, , ,No,0.533171734,Harwich,Monomoy,,#N/A,#N/A,1%,Very Low
OR-1117,,,No,0.70249342,Orleans,Nauset,,#N/A,#N/A,5%,Low
OR-119, , ,No,1.172387712,Orleans,Nauset,,#N/A,#N/A,5%,Very Low
FA-909, , ,No,0.366459282,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
FA-835, , ,No,0.387382755,Falmouth,Sagamore,,#N/A,#N/A,,#N/A
YA-661, , ,No,0.506153646,Yarmouth,Sagamore,,#N/A,#N/A,,#N/A
CH-552, , ,No,1.39882035,Chatham,Monomoy,,#N/A,#N/A,0%,Very Low
BA-503, , ,No,0.283325104,Barnstable,Sagamore,,#N/A,#N/A,60%,Very High
DE-1118,,,No,0.232239083,Dennis,Monomoy,,#N/A,#N/A,3%,Very Low
SA-330, , ,No,1.275013287,Sandwich,Sagamore,,#N/A,#N/A,26%,High
BR-244, , ,No,1.212287613,Brewster,Monomoy,,#N/A,#N/A,1%,Very Low
MA-1119,,,No,0.389323572,Mashpee,Sagamore,,#N/A,#N/A,,#N/A
FA-906, , ,No,0.616895396,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
BA-814, , ,No,0.597811041,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
BA-774, , ,No,0.556292707,Barnstable,Sagamore,,#N/A,#N/A,100%,Very High
CH-536, , ,No,0.354869421,Chatham,Monomoy,,#N/A,#N/A,59%,Very High
CH-1120,,,No,0.557472376,Chatham,Monomoy,,#N/A,#N/A,6%,Low
BA-482, , ,No,0.308119076,Barnstable,Sagamore,,#N/A,#N/A,11%,Medium
DE-467, , ,No,1.101330831,Dennis,Monomoy,,#N/A,#N/A,,#N/A
DE-235, , ,No,1.167471449,Dennis,Monomoy,,#N/A,#N/A,21%,Medium
BR-183, , ,No,0.439395687,Brewster,Monomoy,,#N/A,#N/A,4%,Very Low
MA-846, , ,No,0.301281081,Mashpee,Sagamore,,#N/A,#N/A,100%,Very High
BA-399, , ,No,0.248026145,Barnstable,Sagamore,,#N/A,#N/A,35%,High
DE-346, , ,No,0.674967003,Dennis,Monomoy,,#N/A,#N/A,,#N/A
BR-1121,,,No,0.310691202,Brewster,Monomoy,,#N/A,#N/A,,#N/A
BR-206, , ,No,0.481155153,Brewster,Monomoy,,#N/A,#N/A,,#N/A
OR-132, , ,No,1.182184306,Orleans,Nauset,,#N/A,#N/A,5%,Low
MA-1122,,,No,2.33470765,Mashpee,Sagamore,,#N/A,#N/A,99%,Very High
MA-840, , ,No,0.551285181,Mashpee,Sagamore,,#N/A,#N/A,47%,High
FA-787, , ,No,0.590088418,Falmouth,Sagamore,,#N/A,#N/A,0%,Very Low
BA-1123,,,No,0.313771841,Barnstable,Sagamore,,#N/A,#N/A,43%,High
SA-318, , ,No,1.507104009,Sandwich,Sagamore,,#N/A,#N/A,54%,Very High
BR-1124,,,No,0.720430011,Brewster,Monomoy,,#N/A,#N/A,,#N/A
BR-200, , ,No,1.743216453,Brewster,Monomoy,,#N/A,#N/A,0%,Very Low
OR-1125,,,No,0.996112171,Orleans,Nauset,,#N/A,#N/A,20%,Medium
MA-1126,,,No,0.341359815,Mashpee,Sagamore,,#N/A,#N/A,57%,Very High
MA-853, , ,No,0.322631762,Mashpee,Sagamore,,#N/A,#N/A,80%,Very High
MA-847, , ,No,1.390720039,Mashpee,Sagamore,,#N/A,#N/A,31%,High
MA-838, , ,No,0.731196656,Mashpee,Sagamore,,#N/A,#N/A,52%,Very High
BA-732, , ,No,1.590183988,Barnstable,Sagamore,,#N/A,#N/A,39%,High
BA-673, , ,No,6.324374221,Barnstable,Sagamore,,#N/A,#N/A,1%,Very Low
BA-631, , ,No,0.261667779,Barnstable,Sagamore,,#N/A,#N/A,3%,Very Low
YA-575, , ,No,0.995031155,Yarmouth,Sagamore,,#N/A,#N/A,37%,High
BA-574,Campground Pond, ,No,3.646331434,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
BO-159, , ,No,2.514814704,Bourne,Plymouth-Carver,,#N/A,#N/A,24%,Medium
BA-1127,,,No,0.426288723,Barnstable,Sagamore,,#N/A,#N/A,36%,High
BO-1128,,,No,0.512571867,Bourne,Sagamore,,#N/A,#N/A,24%,Medium
SA-643, , ,No,1.211561282,Sandwich,Sagamore,,#N/A,#N/A,71%,Very High
BA-502, , ,No,0.493822134,Barnstable,Sagamore,,#N/A,#N/A,3%,Very Low
BA-451, , ,No,0.684711849,Barnstable,Sagamore,,#N/A,#N/A,0%,Very Low
DE-336, , ,No,1.579621589,Dennis,Monomoy,,#N/A,#N/A,4%,Very Low
FA-907, , ,No,0.8581423,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
BA-697, , ,No,0.771084347,Barnstable,Sagamore,,#N/A,#N/A,44%,High
BA-610, , ,No,1.567953602,Barnstable,Sagamore,,#N/A,#N/A,3%,Very Low
BA-580, , ,No,0.477871484,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
BA-570, , ,No,0.963959094,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
HA-465, , ,No,1.771013958,Harwich,Monomoy,,#N/A,#N/A,5%,Very Low
HA-454, , ,No,0.366743453,Harwich,Monomoy,,#N/A,#N/A,2%,Very Low
BR-1129,,,No,0.478579116,Brewster,Monomoy,,#N/A,#N/A,,#N/A
HA-301, , ,No,0.689052629,Harwich,Monomoy,,#N/A,#N/A,0%,Very Low
BR-296, , ,No,0.925305138,Brewster,Monomoy,,#N/A,#N/A,,#N/A
OR-111, , ,No,1.248521063,Orleans,Nauset,,#N/A,#N/A,7%,Low
MA-896, , ,No,5.830985391,Mashpee,Sagamore,,#N/A,#N/A,6%,Low
FA-879, , ,No,3.273180352,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
BA-741, , ,No,0.260288557,Barnstable,Sagamore,,#N/A,#N/A,4%,Very Low
SA-650, , ,No,1.530742287,Sandwich,Sagamore,,#N/A,#N/A,82%,Very High
SA-612, , ,No,2.015026706,Sandwich,Sagamore,,#N/A,#N/A,87%,Very High
BA-611, , ,No,0.658919387,Barnstable,Sagamore,,#N/A,#N/A,6%,Low
HA-486, , ,No,0.688956517,Harwich,Monomoy,,#N/A,#N/A,3%,Very Low
HA-446, , ,No,1.583236333,Harwich,Monomoy,,#N/A,#N/A,30%,High
HA-331, , ,No,1.22680344,Harwich,Monomoy,,#N/A,#N/A,1%,Very Low
BR-320, , ,No,0.408424742,Brewster,Monomoy,,#N/A,#N/A,,#N/A
SA-204, , ,No,0.545710542,Sandwich,Sagamore,,#N/A,#N/A,36%,High
