CCC_GIS_ID,Name,Alt_Name,Great_Pond,Acres,Town,Aquifer Lens,Volume__cubic_meters_,Final Depth,Depth Class,% 100ft buffer developed,buffer development class
MA-634,Mashpee-Wakeby Pond, ,Yes - on State List,735.8599852,Mashpee,Sagamore,56934878.78,90,deep,14%,Medium
SA-431,Lawrence Pond, ,Yes - on State List,138.6181798,Sandwich,Sagamore,2238615.197,27,deep,13%,Medium
FA-974,Deep Pond,Punch Bowl,No,2.773994002,Falmouth,Sagamore,,#N/A,#N/A,0%,Very Low
BO-736,Osbourne Pond,Osborne Pond,No,8.709363119,Bourne,Plymouth-Carver,,5,shallow,10%,Low
BO-529,Opening Pond, ,No,1.089035472,Bourne,Plymouth-Carver,,#N/A,#N/A,,#N/A
BO-415,Succonnessett Pond,Succonessetts Pond,No,1.274107816,Bourne,Plymouth-Carver,,#N/A,#N/A,,#N/A
SA-616,Weeks Pond, ,Yes - not on State List,17.30583956,Sandwich,Sagamore,,15,deep,21%,Medium
BO-745,Edmunds Pond, ,No,6.767704527,Bourne,Plymouth-Carver,,8,shallow,0%,Very Low
SA-568,Snake Pond, ,Yes - on State List,87.46437738,Sandwich,Sagamore,2193107.992,33,deep,20%,Medium
BA-605,Wequaquet Lake, ,Yes - on State List,673.1202474,Barnstable,Sagamore,13354074.99,32,deep,50%,Very High
BO-315,Baileys Pond, ,No,0.801199451,Bourne,Plymouth-Carver,,#N/A,#N/A,11%,Medium
FA-924,Fresh Pond, ,Yes - on State List,13.47204609,Falmouth,Sagamore,193715.8668,22,deep,21%,Medium
SA-259,Boiling Springs Pond, ,No,3.741459845,Sandwich,Sagamore,,#N/A,#N/A,7%,Low
FA-844,Potters Hole, ,No,3.598348941,Falmouth,Sagamore,,1.96848,shallow,30%,High
BA-914,Rushy Marsh Pond,,Yes - on State List,16.06078082,Barnstable,Sagamore,,8.202,shallow,13%,Medium
BO-576, , ,No,0.873333601,Bourne,Plymouth-Carver,,#N/A,#N/A,16%,Medium
BA-1150,,,No,0.561321857,Barnstable,Sagamore,,#N/A,#N/A,100%,Very High
SA-1151,,,No,0.799064684,Sandwich,Sagamore,,#N/A,#N/A,,#N/A
BR-156, , ,No,0.772988837,Brewster,Monomoy,,#N/A,#N/A,47%,High
OR-112, , ,No,0.265386628,Orleans,Nauset,,#N/A,#N/A,3%,Very Low
OR-166, , ,No,0.498166499,Orleans,Nauset,,#N/A,#N/A,2%,Very Low
OR-137, , ,No,0.583506576,Orleans,Nauset,,#N/A,#N/A,28%,High
OR-138, , ,No,0.427510873,Orleans,Nauset,,#N/A,#N/A,84%,Very High
FA-903, , ,No,0.29870042,Falmouth,Sagamore,,#N/A,#N/A,46%,High
YA-1152,,,No,1.370455281,Yarmouth,Sagamore,,#N/A,#N/A,86%,Very High
BA-541, , ,No,0.283575763,Barnstable,Sagamore,,#N/A,#N/A,3%,Very Low
BA-636, , ,No,3.239073195,Barnstable,Sagamore,,#N/A,#N/A,20%,Medium
BA-590, , ,No,0.62171293,Barnstable,Sagamore,,#N/A,#N/A,43%,High
YA-604, , ,No,0.817618844,Yarmouth,Sagamore,,#N/A,#N/A,34%,High
YA-380, , ,No,0.29495375,Yarmouth,Sagamore,,#N/A,#N/A,61%,Very High
BO-327, , ,No,0.341087997,Bourne,Plymouth-Carver,,#N/A,#N/A,52%,Very High
MA-765, , ,No,1.354561926,Mashpee,Sagamore,,#N/A,#N/A,18%,Medium
SA-274, , ,No,0.717196755,Sandwich,Sagamore,,#N/A,#N/A,6%,Low
BR-250, , ,No,1.300196361,Brewster,Monomoy,,#N/A,#N/A,17%,Medium
MA-842, , ,No,0.460442554,Mashpee,Sagamore,,#N/A,#N/A,90%,Very High
BA-533, , ,No,2.949294809,Barnstable,Sagamore,,#N/A,#N/A,29%,High
BO-141, , ,No,0.287748935,Bourne,Plymouth-Carver,,#N/A,#N/A,7%,Low
BA-633, , ,No,2.587723602,Barnstable,Sagamore,,#N/A,#N/A,40%,High
BO-140, , ,No,0.738105654,Bourne,Plymouth-Carver,,#N/A,#N/A,14%,Medium
MA-1154,,,No,0.738755055,Mashpee,Sagamore,,#N/A,#N/A,89%,Very High
HA-1156,,,No,2.357870631,Harwich,Monomoy,,#N/A,#N/A,100%,Very High
BR-1157,,,No,0.64417447,Brewster,Monomoy,,#N/A,#N/A,91%,Very High
BR-280, , ,No,0.269256224,Brewster,Monomoy,,#N/A,#N/A,53%,Very High
SA-1158,,,No,1.43187061,Sandwich,Sagamore,,#N/A,#N/A,,#N/A
FA-1159,,,No,2.220777353,Falmouth,Sagamore,,#N/A,#N/A,93%,Very High
MA-831, , ,No,0.411758729,Mashpee,Sagamore,,#N/A,#N/A,78%,Very High
SA-647, , ,No,1.990002379,Sandwich,Sagamore,,#N/A,#N/A,14%,Medium
SA-1160,,,No,0.348928641,Sandwich,Sagamore,,#N/A,#N/A,32%,High
YA-1161,,,No,0.315558278,Yarmouth,Sagamore,,#N/A,#N/A,91%,Very High
BR-1162,,,No,1.737635165,Brewster,Monomoy,,#N/A,#N/A,76%,Very High
BR-1163,,,No,0.421936504,Brewster,Monomoy,,#N/A,#N/A,70%,Very High
BA-624, , ,No,1.223436013,Barnstable,Sagamore,,#N/A,#N/A,98%,Very High
MA-1164,,,No,0.250940502,Mashpee,Sagamore,,#N/A,#N/A,59%,Very High
MA-1165,,,No,0.31414087,Mashpee,Sagamore,,#N/A,#N/A,73%,Very High
MA-1166,,,No,0.627777975,Mashpee,Sagamore,,#N/A,#N/A,89%,Very High
OR-1167,,,No,0.271245158,Orleans,Nauset,,#N/A,#N/A,37%,High
BA-466, , ,No,0.246543496,Barnstable,Sagamore,,#N/A,#N/A,34%,High
BA-519, , ,No,0.288202135,Barnstable,Sagamore,,#N/A,#N/A,68%,Very High
BA-591, , ,No,0.422621001,Barnstable,Sagamore,,#N/A,#N/A,42%,High
DE-308, , ,No,0.720282293,Dennis,Monomoy,,#N/A,#N/A,20%,Medium
BR-211, , ,No,0.47677066,Brewster,Monomoy,,#N/A,#N/A,21%,Medium
FA-852, , ,No,1.102278782,Falmouth,Sagamore,,#N/A,#N/A,2%,Very Low
DE-312, , ,No,0.493436305,Dennis,Monomoy,,#N/A,#N/A,84%,Very High
SA-271, , ,No,0.69527084,Sandwich,Sagamore,,#N/A,#N/A,55%,Very High
SA-362, , ,No,0.881516687,Sandwich,Sagamore,,#N/A,#N/A,14%,Medium
FA-1168,,,No,1.783258103,Falmouth,Sagamore,,#N/A,#N/A,91%,Very High
SA-1169,,,No,0.317190843,Sandwich,Sagamore,,#N/A,#N/A,48%,High
MA-957,Deans Pond, ,Yes - not on State List,12.08784112,Mashpee,Sagamore,,2.95272,shallow,61%,Very High
YA-730, , ,No,1.456174125,Yarmouth,Sagamore,,#N/A,#N/A,9%,Low
HA-512, , ,No,0.317224414,Harwich,Monomoy,,#N/A,#N/A,,#N/A
BA-688, , ,No,0.994919467,Barnstable,Sagamore,,#N/A,#N/A,1%,Very Low
BA-534, , ,No,0.365715583,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
BO-360, , ,No,0.760970213,Bourne,Plymouth-Carver,,#N/A,#N/A,,#N/A
PR-4, , ,No,1.190559448,Provincetown,Pilgrim,,#N/A,#N/A,,#N/A
BA-640,Middle Pond,,Yes - on State List,110.078891,Barnstable,Sagamore,1598525.111,30,deep,18%,Medium
