pond,Long,Lat,Last_year,Secchi,MLD,Temp,DO,DO_sat,Alk,TN,TP,NtP,Chla
BA / Hamblin Pond (BA-668-01),-70.4092998,41.66833883,2022,NA,NA,NA,NA,NA,0.5769230769230769,NA,0.620000000000001,-2.6398408812729497,-0.11363636363636363
BA / Lewis Pond (BA-881-01),-70.44337258,41.61880544,2022,0.034999999999999996,NA,0.2999999999999998,NA,1.0943930315658803,0.9066666666666667,-12.049096928571432,NA,NA,-1.0336363636363635
BA / Lovells Pond (BA-759-01),-70.44185441,41.64868502,2023,0.13529411764705881,NA,0.1999999999999993,NA,0.8787860823684507,0.8727272727272727,NA,NA,NA,-0.2675
BA / Lumbert Pond (BA-719-01),-70.3772683,41.65944366,2022,NA,NA,NA,NA,-3.2653019305091266,1.9563888888888887,NA,1.7037499999999999,-74.93756095030605,0.6928571428571428
BA / Mystic Lake (BA-584-01),-70.41517379,41.67949135,2022,NA,NA,NA,NA,NA,0.8481060606060606,NA,0.3965584415584415,-0.8479599056069629,-0.14916666666666667
BA / Parker Pond (BA-875-01),-70.38749956,41.61867394,2023,NA,NA,0.21666666666666679,NA,NA,NA,NA,0.5655303030303029,NA,-0.3985416666666667
BA / Schoolhouse Pond (BA-806-01),-70.3038982,41.63656126,2022,0.09000000000000008,NA,NA,NA,NA,3.9777777777777774,NA,NA,NA,-5.969999999999999
MA / Moody Pond (MA-793-01),-70.51218495,41.6406531,2023,0.17048611111111112,NA,NA,NA,NA,0.2404040404040404,NA,NA,NA,-0.18196428571428572
OR / Meadow Bog Pond (OR-256-01),-69.97705086,41.73972104,2019,0.05803030303030303,NA,NA,NA,NA,NA,-38.44672403571428,NA,NA,-4.018522727272728
